source_id	bib_key	local_path	status	manuscript_role	notes
2005_fernandez_geometrical_multiscale_blood_flow_model		public/references/02_report_model_hierarchy/2005_fernandez_geometrical_multiscale_blood_flow_model.pdf	report-adjacent	multiscale blood-flow modeling	needs BibLaTeX entry before citation
2007_formaggia_3d_1d_fsi_coupling_stability	FormaggiaEtAl2007FSICoupling	public/references/02_report_model_hierarchy/2007_formaggia_3d_1d_fsi_coupling_stability.pdf	current-cited	3D-1D FSI coupling	cited in selected 1D reduction, numerics context, and model hierarchy
2011_shi_zero_d_one_d_blood_flow_review	ShiEtAl2011BloodFlowModelReview	public/references/02_report_model_hierarchy/2011_shi_zero_d_one_d_blood_flow_review.pdf	current-cited	0D and 1D blood-flow review	cited in selected 1D reduction and 0D model prose
2018_courchaine_cardiac_development_cfd	CourchaineRugonyi2018CardiacDevelopmentCFD	public/references/02_report_model_hierarchy/2018_courchaine_cardiac_development_cfd.pdf	report-adjacent	cardiac CFD background	uncited after D15 focused-main-text revision; retained as resolved cardiac-flow context
2019_duanmu_coronary_arterial_tree	DuanmuEtAl2019CoronaryArterialTree	public/references/02_report_model_hierarchy/2019_duanmu_coronary_arterial_tree.pdf	current-cited	coronary 1D modeling	cited in stenosis-aware 1D model prose
2021_lyras_lee_stenosis_pressure_drop_rom	LyrasLee2021PressureDropROM	public/references/02_report_model_hierarchy/2021_lyras_lee_stenosis_pressure_drop_rom.pdf	current-cited	stenosis pressure-drop reduced-order context	cited in state-of-art stenosis pressure-drop context
2024_canic_extended_1d_stenotic_artery_model	CanicEtAl2024Extended1DStenosis	public/references/02_report_model_hierarchy/2024_canic_extended_1d_stenotic_artery_model.pdf	current-cited	selected extended 1D stenosis model	cited in governing-equation and 1D model prose
2024_davey_cardiac_fluid_dynamics_human_heart	DaveyEtAl2024CardiacFluidDynamicsHeart	public/references/02_report_model_hierarchy/2024_davey_cardiac_fluid_dynamics_human_heart.pdf	report-adjacent	resolved cardiac-flow background	uncited after D15 focused-main-text revision; retained as resolved cardiac-flow context
1996_pijls_ffr_functional_severity	PijlsEtAl1996FFRFunctionalSeverity	public/references/03_report_clinical_pressure_flow/1996_pijls_ffr_functional_severity.pdf	current-cited	FFR functional severity foundation	cited in domain-notation appendix prose
2010_tonino_fame_angio_functional_severity	ToninoEtAl2010FAMEAngioFunctional	public/references/03_report_clinical_pressure_flow/2010_tonino_fame_angio_functional_severity.pdf	current-cited	clinical anatomy-function distinction	cited in clinical-observable and anatomy-function context
2011_kelle_coronary_distensibility_mri	KelleEtAl2011CoronaryDistensibility	public/references/03_report_clinical_pressure_flow/2011_kelle_coronary_distensibility_mri.pdf	current-cited	coronary wall compliance context	cited in wall-compliance closure context
2014_norgaard_nxt_ct_ffr	NorgaardEtAl2014NXTFFRCT	public/references/03_report_clinical_pressure_flow/2014_norgaard_nxt_ct_ffr.pdf	current-cited	CT-FFR clinical context	cited in CT-FFR observable context
2015_tebaldi_fractional_flow_reserve_overview	TebaldiEtAl2015FFROverview	public/references/03_report_clinical_pressure_flow/2015_tebaldi_fractional_flow_reserve_overview.html	current-cited	FFR overview	cited in FFR observable context
2017_escaned_physiological_assessment_coronary_stenoses_microcirculation	EscanedDavies2017PhysiologicalAssessment	public/references/03_report_clinical_pressure_flow/2017_escaned_physiological_assessment_coronary_stenoses_microcirculation.pdf	current-cited	coronary stenosis physiology and pressure-ratio notation	cited in domain-notation appendix prose
2018_blanco_ffr_1d_3d_comparison	Blanco2018FFR1D3D	public/references/03_report_clinical_pressure_flow/2018_blanco_ffr_1d_3d_comparison.pdf	current-cited	1D-3D FFR comparison background	cited in cross-dimensional observation-operator context
2021_derimay_coronary_stenosis_obstruction	DerimayEtAl2021CoronaryStenosisObstruction	public/references/03_report_clinical_pressure_flow/2021_derimay_coronary_stenosis_obstruction.pdf	current-cited	anatomical versus functional stenosis distinction	cited in pressure-flow motivation
2022_van_den_hoogen_coronary_lesion_cta	VanDenHoogenEtAl2022CoronaryLesionCTA	public/references/03_report_clinical_pressure_flow/2022_van_den_hoogen_coronary_lesion_cta.pdf	current-cited	coronary lesion and shear-output context	cited in pressure-flow motivation
2025_shaikh_ct_derived_ffr_methodologies	ShaikhEtAl2025CTFFR	public/references/03_report_clinical_pressure_flow/2025_shaikh_ct_derived_ffr_methodologies.pdf	current-cited	CT-FFR methodology context	cited in CT-FFR observable-method context
2026_who_cvd_fact_sheet	WHO2025CVDFactSheet	public/references/03_report_clinical_pressure_flow/2026_who_cvd_fact_sheet.html	report-adjacent	cardiovascular disease burden context	uncited archive near clinical motivation
2002_leveque_finite_volume_hyperbolic_problems	LeVeque2002FiniteVolumeMethodsForHyperbolicProblems	public/references/04_report_numerics_verification/2002_leveque_finite_volume_hyperbolic_problems.pdf	current-cited	finite-volume numerical methods foundation	cited in numerical-methods and verification context
2005_morton_mayers_numerical_pdes		public/references/04_report_numerics_verification/2005_morton_mayers_numerical_pdes.pdf	report-adjacent	numerical PDE background	needs BibLaTeX entry before citation
2014_wang_1d_blood_flow_networks_thesis	Wang2014BloodFlowNetworks	public/references/04_report_numerics_verification/2014_wang_1d_blood_flow_networks_thesis.pdf	current-cited	1D blood-flow numerical background	cited in numerical-methods and verification context
2015_boileau_1d_arterial_blood_flow_benchmark	BoileauEtAl2015Benchmark	public/references/04_report_numerics_verification/2015_boileau_1d_arterial_blood_flow_benchmark.pdf	current-cited	1D arterial benchmark schemes	cited in governing-equation numerical context
2022_asme_vvuq_terminology	ASME2022VVUQTerminology	public/references/04_report_numerics_verification/2022_asme_vvuq_terminology.html	current-cited	verification validation and uncertainty terminology	cited in numerical evidence and conclusion terminology
2024_benemerito_openbf_finite_volume_1d_solver	BenemeritoEtAl2024OpenBF	public/references/04_report_numerics_verification/2024_benemerito_openbf_finite_volume_1d_solver.pdf	current-cited	OpenBF-style 1D solver context	cited in open-solver workflow and verification context
2025_beckers_kolbe_lax_friedrichs_hemodynamics	BeckersKolbe2025LaxFriedrichsHemodynamics	public/references/04_report_numerics_verification/2025_beckers_kolbe_lax_friedrichs_hemodynamics.pdf	current-cited	1D hemodynamics numerical scheme context	cited in numerical-methods and verification context
2025_colebank_hemodynamics_parameter_identifiability_spectral_surrogates	Colebank2025HemodynamicsIdentifiability	public/references/04_report_numerics_verification/2025_colebank_hemodynamics_parameter_identifiability_spectral_surrogates.pdf	current-cited	identifiability and surrogate verification context	cited in synthesis uncertainty and identifiability context
2025_lucca_blood_flow_ffr_prediction	LuccaEtAl2025FFRPrediction	public/references/04_report_numerics_verification/2025_lucca_blood_flow_ffr_prediction.pdf	current-cited	FFR-oriented 1D network numerics	cited in Chapter 4 finite-volume/numerics context
2023_pimentel_garcia_high_order_well_balanced_blood_flow	PimentelGarciaEtAl2023HighOrderWellBalanced	public/references/04_report_numerics_verification/2023_pimentel_garcia_high_order_well_balanced_blood_flow.pdf	current-cited	high-order well-balanced 1D blood-flow numerics	cited in state-of-the-art numerical-methods context
2025_pimentel_garcia_high_order_well_balanced_blood_flow	PimentelGarciaEtAl2025HighOrderWellBalanced	public/references/04_report_numerics_verification/2025_pimentel_garcia_high_order_well_balanced_blood_flow.html	report-adjacent	friction and gravity well-balanced extension	distinct 2025 preprint retained for future extension; not used for 2023 JCP claim
2026_simvascular_platform	SimVascular2026Platform	public/references/04_report_numerics_verification/2026_simvascular_platform.html	current-cited	verification infrastructure citation	cited in reproducibility and resolved-modeling infrastructure context
2026_simvascular_vascular_model_repository	SimVascular2026VascularModelRepository	public/references/04_report_numerics_verification/2026_simvascular_vascular_model_repository.html	current-cited	verification-resource citation	cited in reference-data and model-repository context
2026_yu_pinn_hemodynamics_review	YuEtAl2026PINNHemodynamicsReview	public/references/04_report_numerics_verification/2026_yu_pinn_hemodynamics_review.pdf	current-cited	PINN hemodynamics review context	cited in review-led introduction context
2021_khalid_blood_flow_modeling_review		public/references/70_report_adjacent_candidates/2021_khalid_blood_flow_modeling_review.pdf	report-adjacent	blood-flow modeling review candidate	needs BibLaTeX entry and relevance review before citation
1998_lagaris_neural_networks_odes_pdes	LagarisEtAl1998NeuralNetworksPDEs	public/references/80_future_surrogates_and_pinns/1998_lagaris_neural_networks_odes_pdes.pdf	future-work	neural PDE solver background	uncited future-method source
2018_e_yu_deep_ritz_method	EYu2018DeepRitz	public/references/80_future_surrogates_and_pinns/2018_e_yu_deep_ritz_method.pdf	future-work	Deep Ritz background	uncited future-method source
2019_kharazmi_variational_pinn	KharazmiEtAl2019VPINN	public/references/80_future_surrogates_and_pinns/2019_kharazmi_variational_pinn.pdf	future-work	VPINN background	uncited future-method source
2019_raissi_physics_informed_neural_networks	RaissiEtAl2019PhysicsInformedNeuralNetworks	public/references/80_future_surrogates_and_pinns/2019_raissi_physics_informed_neural_networks.pdf	future-work	PINN background	uncited future-method source
2020_jin_generalization_error_deep_learning_smoothness		public/references/80_future_surrogates_and_pinns/2020_jin_generalization_error_deep_learning_smoothness.pdf	future-work	deep-learning generalization background	needs BibLaTeX entry before citation
2020_lu_dying_relu_initialization		public/references/80_future_surrogates_and_pinns/2020_lu_dying_relu_initialization.pdf	future-work	neural-network initialization background	needs BibLaTeX entry before citation
2020_raissi_hidden_fluid_mechanics_flow_visualizations	RaissiEtAl2020HiddenFluidMechanics	public/references/80_future_surrogates_and_pinns/2020_raissi_hidden_fluid_mechanics_flow_visualizations.pdf	future-work	fluid-mechanics PINN background	uncited future-method source
2020_samaniego_energy_pde_ml_computational_mechanics	SamaniegoEtAl2020EnergyPDEML	public/references/80_future_surrogates_and_pinns/2020_samaniego_energy_pde_ml_computational_mechanics.pdf	future-work	energy-based PDE machine learning background	uncited future-method source
2021_kharazmi_hp_vpinn	KharazmiEtAl2021HpVPINN	public/references/80_future_surrogates_and_pinns/2021_kharazmi_hp_vpinn.pdf	future-work	hp-VPINN background	uncited future-method source
2021_li_fourier_neural_operator	LiEtAl2021FNO	public/references/80_future_surrogates_and_pinns/2021_li_fourier_neural_operator.pdf	future-work	FNO background	uncited future-method source
2021_liao_deep_nitsche_method	LiaoMing2021DeepNitsche	public/references/80_future_surrogates_and_pinns/2021_liao_deep_nitsche_method.pdf	future-work	Deep Nitsche boundary treatment background	uncited future-method source
2021_lu_deep_ritz_generalization	LuEtAl2021DeepRitzGeneralization	public/references/80_future_surrogates_and_pinns/2021_lu_deep_ritz_generalization.pdf	future-work	Deep Ritz generalization background	uncited future-method source
2021_lu_deeponet_main_preprint	LuEtAl2021DeepONet	public/references/80_future_surrogates_and_pinns/2021_lu_deeponet_main_preprint.pdf	future-work	DeepONet background	uncited future-method source
2021_lu_deeponet_supplementary	LuEtAl2021DeepONet	public/references/80_future_surrogates_and_pinns/2021_lu_deeponet_supplementary.pdf	future-work	DeepONet supplementary material	retained alongside main preprint source
2021_lu_deepxde_library		public/references/80_future_surrogates_and_pinns/2021_lu_deepxde_library.pdf	future-work	DeepXDE software background	needs BibLaTeX entry before citation
2021_wang_pinn_gradient_flow_pathologies	WangEtAl2021PINNGradientPathologies	public/references/80_future_surrogates_and_pinns/2021_wang_pinn_gradient_flow_pathologies.pdf	future-work	PINN training pathology background	uncited future-method source
2023_amos_amortized_optimization_tutorial	Amos2023AmortizedOptimizationTutorial	public/references/80_future_surrogates_and_pinns/2023_amos_amortized_optimization_tutorial.pdf	future-work	amortized optimization background	uncited future-method source
2023_minakowski_deep_ritz_error_estimates	MinakowskiRichter2023DeepRitzError	public/references/80_future_surrogates_and_pinns/2023_minakowski_deep_ritz_error_estimates.pdf	future-work	Deep Ritz error-estimate background	uncited future-method source
2025_csala_physics_constrained_neural_differential_blood_flow	CsalaEtAl2025PCNDE	public/references/04_report_numerics_verification/2025_csala_physics_constrained_neural_differential_blood_flow.pdf	current-cited	neural differential blood-flow surrogate background	cited in learned-method scope and synthesis prose
2025_minakowski_richter_deep_ritz_erratum	MinakowskiRichter2025Erratum	public/references/80_future_surrogates_and_pinns/2025_minakowski_richter_deep_ritz_erratum.pdf	future-work	Deep Ritz erratum	retained with related Deep Ritz source
2025_velikorodny_deep_operator_stenosed_vessels	VelikorodnyEtAl2025DeepOperatorStenosed	public/references/04_report_numerics_verification/2025_velikorodny_deep_operator_stenosed_vessels.html	current-cited	deep-operator stenosed-vessel surrogate background	cited in learned-method scope and synthesis prose
2025_yu_natural_deep_ritz	YuZhang2025NaturalDeepRitz	public/references/80_future_surrogates_and_pinns/2025_yu_natural_deep_ritz.pdf	future-work	natural Deep Ritz background	uncited future-method source
2026_wu_circulatory_digital_twins		public/references/90_background_archive/2026_wu_circulatory_digital_twins.pdf	background	circulatory digital-twin background	needs BibLaTeX entry before citation
unknown_grinfeld_tensor_calculus		public/references/98_needs_review/unknown_grinfeld_tensor_calculus.pdf	needs-review	tensor-calculus background	unknown year; resolve metadata before use
unknown_osher_fedkiw_level_set_methods		public/references/98_needs_review/unknown_osher_fedkiw_level_set_methods.pdf	needs-review	level-set background	unknown year; resolve metadata before use
unknown_sun_fem_eigenvalue_problems		public/references/98_needs_review/unknown_sun_fem_eigenvalue_problems.pdf	needs-review	FEM/eigenvalue background	unknown year; resolve metadata before use
unknown_unknown_eps_error_3		public/references/98_needs_review/unknown_unknown_eps_error_3.pdf	needs-review	unclear source	unknown author and year; resolve metadata before use
unknown_unknown_information_theory_deep_learning		public/references/98_needs_review/unknown_unknown_information_theory_deep_learning.pdf	needs-review	information-theory deep-learning background	unknown author and year; resolve metadata before use
